ID,title_text,source_url
78752,La nueva guerra por la Patagonia,https://www.revistaanfibia.com/la-nueva-guerra-por-la-patagonia/
79422,¿Un nuevo escenario político? Jornada 2,https://www.revistaanfibia.com/un-nuevo-escenario-politico-jornada-2/
79617,Las autoridades no están,https://www.revistaanfibia.com/las-autoridades-no-estan/
78741,Un arquitecto japonés en un basural del conurbano,https://www.revistaanfibia.com/un-arquitecto-japones-en-un-basural-del-conurbano/
79891,Tierras indígenas: la deuda interna,https://www.revistaanfibia.com/tierras-indigenas-la-deuda-interna/
79963,Entrenar algoritmos para el bien,https://www.revistaanfibia.com/entrenar-algoritmos-para-el-bien/
80002,"Con armas, no",https://www.revistaanfibia.com/con-armas-no/
80017,La Patagonia y la eterna conspiración,https://www.revistaanfibia.com/la-patagonia-y-la-eterna-conspiracion/
80123,¿La política es cada día más emocional?,https://www.revistaanfibia.com/la-politica-es-cada-dia-mas-emocional/
80204,¿Por qué Batman no mata al Guasón?,https://www.revistaanfibia.com/batman-no-mata-al-guason/
80254,¿Un nuevo escenario político? Jornada 3,https://www.revistaanfibia.com/un-nuevo-escenario-politico-jornada-3/
80582,Sin lugar para la muerte,https://www.revistaanfibia.com/sin-lugar-para-muerte/
80666,Faltan adultos para los hijos de la democracia,https://www.revistaanfibia.com/faltan-adultos-los-hijos-la-democracia/
80696,12 lecciones para el ensayista contemporáneo,https://www.revistaanfibia.com/lecciones-ensayista-contemporaneo/
80691,"Censura retro, mutilación pop",https://www.revistaanfibia.com/censura-retro-mutilacion-pop/
80928,La fórmula Sampaoli,https://www.revistaanfibia.com/la-formula-sampaoli-2/
80992,La armada norteamericana,https://www.revistaanfibia.com/armada-norteamericana/
81079,¿Un nuevo escenario político? Jornada 4,https://www.revistaanfibia.com/un-nuevo-escenario-politico-jornada-4/
81027,¿Somos todos clase media?,https://www.revistaanfibia.com/somos-todos-clase-media/
80858,"No es vanidad, es poder",https://www.revistaanfibia.com/es-poder-no-vanidad/
81343,Buscándole sentido al fracaso,https://www.revistaanfibia.com/buscandole-sentido-al-fracaso/
81382,La vida después de la locura,https://www.revistaanfibia.com/la-vida-despues-de-locura/
81471,El sexo virtual también es sexo,https://www.revistaanfibia.com/el-sexo-virtual-tambien-es-sexo/
81557,"Acá estoy yo, para salvarlos",https://www.revistaanfibia.com/aca-estoy-yo-para-salavarlos/
81580,"Adiós, querido Rey",https://www.revistaanfibia.com/adios-querido-rey/
81678,"Tamo activo, tamo en vivo",https://www.revistaanfibia.com/tamo-activo-tamo-en-vivo-2/
81836,¿Qué hay de nuevo en el timbreo?,https://www.revistaanfibia.com/que-hay-de-nuevo-en-timbreo/
81867,¿Cómo será la política del futuro?,https://www.revistaanfibia.com/como-sera-la-politica-del-futuro/
81810,"Mi mamá, una niña de la guerra",https://www.revistaanfibia.com/mama-una-nina-guerra/
81835,El invierno no pudo con la revolución,https://www.revistaanfibia.com/invierno-no-pudo-la-revolucion/
82265,¿Un nuevo escenario político? Jornada 5,https://www.revistaanfibia.com/un-nuevo-escenario-politico-jornada-5/
81792,"Escuchá, Santiago",https://www.revistaanfibia.com/escucha-santiago-2/
82342,Ojalá,https://www.revistaanfibia.com/ojala/
82402,En el pantano,https://www.revistaanfibia.com/en-el-pantano/
82468,"Si hay cuerpo, no hay posverdad",https://www.revistaanfibia.com/cuerpo-no-posverdad/
83109,"¿Qué suma más votos, el timbreo o la big data?",https://www.revistaanfibia.com/que-suma-mas-votos-el-timbreo-o-la-big-data/
83037,Sean humanos,https://www.revistaanfibia.com/humanos-sean/
82227,A punto de explotar,https://www.revistaanfibia.com/a-punto-de-explotar/
83379,La revolución en la era Putin,https://www.revistaanfibia.com/la-revolucion-en-la-era-putin/
83540,Un altar para Santiago,https://www.revistaanfibia.com/un-altar-para-santiago/
83916,Por qué arrasó,https://www.revistaanfibia.com/arraso/
84020,Hegemonía y hegemoína,https://www.revistaanfibia.com/hegemonia-hegemoina/
