Tag A,Tag B,Similitud_Coseno_Prob_Topicos
Messi,Scaloneta,0.999
Iran,Irán,0.998
Messi,Qatar 2022,0.997
Qatar 2022,Scaloneta,0.997
Israel,Palestina,0.996
Iglesia Católica,Papa Francisco,0.996
Javier Milei,Sin Control 2,0.995
Cop26,Crisis Climática,0.995
Irán,Medio Oriente,0.995
Jair Bolsonaro,Lula Da Silva,0.994
Iran,Medio Oriente,0.994
Alemania,Angela Merkel,0.994
Rusia,Ucrania,0.993
Alejandro Sabella,Scaloneta,0.993
Elecciones 2023,Sergio Massa,0.993
Catolicismo,Religion,0.992
Papa Francisco,Papa León Xiv,0.992
Dilma Rousseff,Lula Da Silva,0.992
Dilma Rousseff,Jair Bolsonaro,0.991
Di María,Messi,0.991
Alejandro Sabella,Messi,0.991
Qatar 2022,Selección Argentina,0.991
Iglesia Católica,Papa León Xiv,0.991
Messi,Selección Argentina,0.991
Alejandro Sabella,Qatar 2022,0.991
Lgbtiq+,Orgullo,0.99
8M,8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,0.99
Alberto Fernández,Frente De Todos,0.99
Francia Márquez,Gustavo Petro,0.99
Di María,Scaloneta,0.99
Scaloneta,Selección Argentina,0.989
Israel,Medio Oriente,0.988
Música,Rock Nacional,0.988
Arte Digital,Arteba,0.988
Fútbol,Mundial De Fútbol,0.988
Ca7Triel Y Paco,Pop,0.987
Javier Milei,Un Año De Milei,0.987
Javier Milei,La Libertad Avanza,0.987
Javier Milei,O Sea Digamos,0.987
Marcha Universitaria,Universidad Pública,0.987
Reforma Laboral,Trabajo,0.987
O Sea Digamos,Sin Control 2,0.987
Catolicismo,Papa Francisco,0.987
Papa Francisco,Religion,0.986
Putin,Rusia,0.986
Fútbol,Qatar 2022,0.986
Di María,Qatar 2022,0.986
Federalismo,Provincias,0.986
Di María,Selección Argentina,0.985
Brasil,Dilma Rousseff,0.985
Congreso,Sin Control 2,0.985
Derechas,Liberalismo,0.985
Charly García,Luis Alberto Spinetta,0.985
Martín Guzmán,Silvina Batakis,0.984
Brasil,Jair Bolsonaro,0.984
Calentamiento Global,Carbono,0.984
Música,Pop,0.984
Clases Medias,Ilustraciones,0.984
Congreso,Javier Milei,0.984
Brasil,Lula Da Silva,0.984
Causa Andis,Llaryora,0.983
Artesdigitales,Mujeres Y Disidencias,0.983
Mundial De Fútbol,Qatar 2022,0.983
Mujeres Y Disidencias,Mutek,0.983
Irán,Israel,0.983
Financiamiento Narco,Pacto De Mayo,0.983
Escuelas,Soledad Acuña,0.983
#Niunamenos,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.983
El Último Rincón De Sudamérica,Guayana Francesa,0.983
Financiamiento Narco,Llaryora,0.983
Artesdigitales,Britishcouncil,0.983
Amplify,Mujeres Y Disidencias,0.983
Amplify,Britishcouncil,0.983
Mundial De Fútbol,Viajes,0.983
La Libertad Avanza,Sergio Massa,0.983
Causa Andis,Pacto De Mayo,0.983
La Conversa,Rechazo,0.983
Britishcouncil,Mutek,0.983
Iran,Israel,0.982
Sin Control 2,Un Año De Milei,0.982
Evangélicos,Religion,0.982
Alejandro Sabella,Di María,0.982
Medio Oriente,Palestina,0.982
Leandro Santoro,Pro,0.982
Asociación Del Fútbol Argentino,Lionel Messi,0.982
Ca7Triel Y Paco,Música,0.981
Alejandro Sabella,Selección Argentina,0.981
Pop,Rock Nacional,0.981
La Conversa,Proceso Constituyente,0.981
Discurso,Karina Milei,0.981
$Libra,Criptogate,0.981
Festival Anfibio,Pensamiento Contemporáneo,0.981
Derechas,Elecciones 2023,0.981
Maradona,Scaloneta,0.981
Elecciones,Marcos Peña,0.981
Fallo Contra Cfk,Movilización,0.98
Boric,Convención Constituyente,0.98
Catolicismo,Iglesia Católica,0.98
La Libertad Avanza,O Sea Digamos,0.98
Juntos Por El Cambio,Peronismo,0.98
Lunes Negro,Presupuesto 2025,0.98
Lunes Negro,Populismo,0.98
Congreso,O Sea Digamos,0.98
Fútbol,Scaloneta,0.98
Axel Kicillof,Sergio Massa,0.979
Carbono,Océanos,0.979
La Libertad Avanza,Sin Control 2,0.979
Mundial De Fútbol,Scaloneta,0.979
Maradona,Qatar 2022,0.979
Elecciones 2023,La Libertad Avanza,0.979
Elecciones,Frente De Todos,0.979
Iglesia Católica,Religion,0.978
Pop,Trap,0.978
Educación,Escuelas,0.978
Discurso,Lunes Negro,0.978
Elecciones 2023,Peronismo,0.978
Fútbol,Selección Argentina,0.978
Elecciones,Peronismo,0.978
Barras Bravas,Fútbol,0.978
Maradona,Messi,0.978
Congreso,La Libertad Avanza,0.978
Pablo Lautra,Violencia De Género,0.977
Pop,Soledad Pastorutti,0.977
Nicolas Maduro,Venezuela,0.977
Lito Vitale,Pop,0.977
Liliana Herrero,Pop,0.977
Varones Unidos,Violencia De Género,0.977
Mex Urtizberea,Pop,0.977
Milo J,Pop,0.977
Jorge Macri,Pro,0.977
Canadá,Mundial 2026,0.977
Conflictos Territoriales,Pueblos Originarios,0.977
Julián Kartun,Pop,0.977
Calentamiento Global,Servicio Meteorológico Nacional,0.977
Calentamiento Global,Océano,0.977
Ca7Triel Y Paco,Rock Nacional,0.977
Doble Femicidio,Violencia De Género,0.977
Elecciones,Elecciones Legislativas 2021,0.977
Falklore,Pop,0.977
Falsas Denuncias,Violencia De Género,0.977
Docentes,Marcha Universitaria,0.977
Fútbol,Messi,0.977
Cosquín,Pop,0.977
Denuncias,Violencia De Género,0.977
Escuela Idaes,Unsam,0.977
Cazzu,Pop,0.977
Karina Milei,Lunes Negro,0.977
Calentamiento Global,Inundaciones,0.977
Di María,Mundial De Fútbol,0.976
Elecciones,Juntos Por El Cambio,0.976
Donald Trump,Estados Unidos,0.976
Hbo,Series,0.976
Elecciones Legislativas 2021,Peronismo,0.976
Aira,Crónica,0.976
Axel Kicillof,Gobernadores,0.976
Sergio Massa,Unión Por La Patria,0.976
Mundial De Fútbol,Selección Argentina,0.976
Papa León Xiv,Religion,0.976
Congreso,Unión Por La Patria,0.976
Rosario,Rosariocronica,0.976
Calentamiento Global,Océanos,0.976
Economía,Inflación,0.976
Federalismo,La Libertad Avanza,0.975
Ucrania,Vladímir Putin,0.975
Groenlandia,Ucrania,0.975
Dillom,Pop,0.975
Discurso,Unión Por La Patria,0.975
Elecciones 2023,Liberalismo,0.975
Horrorcore,Pop,0.975
Catolicismo,Papa León Xiv,0.975
Ucrania,Unión Europea,0.975
Putin,Ucrania,0.975
La Libertad Avanza,Unión Por La Patria,0.975
$Libra,Milei,0.974
Dólar,Fmi,0.974
Financiamiento Narco,Lunes Negro,0.974
Congreso,Federalismo,0.974
Causa Andis,Lunes Negro,0.974
Cine,Cine Argentino,0.974
Arte,Artes,0.974
Lunes Negro,Pacto De Mayo,0.974
Lionel Messi,Qatar 2022,0.974
Messi,Mundial De Fútbol,0.974
Llaryora,Lunes Negro,0.974
Alejandro Sabella,Fútbol,0.974
Chile,La Transición En Chile,0.973
Di María,Fútbol,0.973
Nicolás Maduro,Unión Europea,0.973
Nicolás Maduro,Vladímir Putin,0.973
8M,Feminismos,0.973
Fútbol,Lionel Messi,0.973
Lionel Messi,Selección Argentina,0.973
Derechas,Javier Milei,0.973
Elecciones Legislativas 2021,Frente De Todos,0.973
Irán,Palestina,0.973
Axel Kicillof,Provincias,0.973
2001,Crisis 2001,0.973
Charly García,Rock Nacional,0.973
Groenlandia,Nicolás Maduro,0.973
Lgbtiq+,Memoria Trans,0.972
Fútbol,Viajes,0.972
Convención Constituyente,La Transición En Chile,0.972
Iran,Palestina,0.972
Gabriel Boric,La Transición En Chile,0.972
Despidos,Reforma Laboral,0.972
Lionel Messi,Messi,0.972
Música,Trap,0.972
Provincias,Sergio Massa,0.972
Memoria Trans,Orgullo,0.972
Mex Urtizberea,Música,0.971
La Libertad Avanza,Liberalismo,0.971
Lito Vitale,Música,0.971
Cosquín,Música,0.971
Alberto Fernández,Elecciones,0.971
Derechas,La Libertad Avanza,0.971
Alquileres,Inquilinxs,0.971
Milei,Presupuesto 2025,0.971
Liliana Herrero,Música,0.971
Milei,Populismo,0.971
Julián Kartun,Música,0.971
Axel Kicillof,Pro,0.971
Cazzu,Música,0.971
$Libra,Culturahype,0.971
$Libra,Hipersticion,0.971
Falklore,Música,0.971
Milo J,Música,0.971
Deuda,Fmi,0.971
Cordobesismo,María Eugenia Vidal,0.971
Música,Soledad Pastorutti,0.971
Dillom,Trap,0.97
Bell Hooks,Terf,0.97
Horrorcore,Trap,0.97
Ca7Triel Y Paco,Lentitud,0.97
Lunes Negro,Milei,0.97
Crónicas,Futuros,0.97
Elecciones 2023,Javier Milei,0.97
Feminismos Afro,Furia Travesti,0.97
Bell Hooks,Cancelación,0.97
Cancelación,Feminismos Afro,0.97
Crónicas,Hidrovía,0.97
Abuso Sexual,Violencia De Género,0.97
Axel Kicillof,Elecciones 2023,0.97
Alejandro Sabella,Maradona,0.97
Educación,Marcha Universitaria,0.97
Derechas,Sergio Massa,0.97
Congreso,Karina Milei,0.97
Feminismos Afro,Terf,0.97
Ara San Juan,Submarinos,0.97
Bell Hooks,Furia Travesti,0.97
Elecciones 2023,Juntos Por El Cambio,0.97
Barras Bravas,Boca Juniors,0.969
Elecciones 2023,Federalismo,0.969
Elecciones 2023,Unión Por La Patria,0.969
Congreso,Provincias,0.969
Alejandro Sabella,Mundial De Fútbol,0.969
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Feminismos,0.969
Energía,Petróleo,0.969
Axel Kicillof,Juntos Por El Cambio,0.969
Lionel Messi,Scaloneta,0.969
Congreso,Ley Ómnibus,0.969
Javier Milei,Unión Por La Patria,0.969
Congreso,Discurso,0.969
Culturahype,Llaryora,0.968
Culturahype,Pacto De Mayo,0.968
Pacto De Mayo,Populismo,0.968
Hipersticion,Pacto De Mayo,0.968
Pacto De Mayo,Presupuesto 2025,0.968
Federalismo,Javier Milei,0.968
Cine,Globos De Oro,0.968
Cristina Fernández De Kirchner,Kirchnerismo,0.968
Qatar 2022,Viajes,0.968
Derechos,Reforma Laboral,0.968
Hipersticion,Llaryora,0.968
La Libertad Avanza,Provincias,0.968
Llaryora,Presupuesto 2025,0.968
Llaryora,Populismo,0.968
Plebiscito De Salida,Rechazo,0.968
Alejandro Sabella,Lionel Messi,0.968
Gobernadores,Pro,0.967
Frente De Todos,Martín Guzmán,0.967
Elecciones,Randazzo,0.967
24M: Día De La Memoria Por La Verdad Y La Justicia,Derechos Humanos,0.967
Federalismo,Sergio Massa,0.967
Liberalismo,Sergio Massa,0.967
Giorgia Meloni,Izquierdas,0.967
Elecciones Legislativas 2021,Progresismo,0.967
Angela Merkel,Izquierdas,0.967
Ciudad Futura,Elecciones 2023,0.967
Karina Milei,Llaryora,0.966
Frente De Todos,Marcos Peña,0.966
Federalismo,O Sea Digamos,0.966
Karina Milei,Pacto De Mayo,0.966
Congreso,Libertad,0.966
Deuda,Dólar,0.966
Elecciones 2023,Provincias,0.966
Daniel Ortega,Honduras,0.966
Nicaragua,Xiomara Castro,0.966
Honduras,Nicaragua,0.966
Di María,Lionel Messi,0.966
Ciudad Futura,Peronismo,0.966
Alemania,Izquierdas,0.966
Javier Milei,Sergio Massa,0.966
Daniel Ortega,Xiomara Castro,0.966
Javier Milei,Libertarios,0.965
Lentitud,Música,0.965
Jorge Macri,Leandro Santoro,0.965
Javier Milei,Libertad,0.965
Alfabetismos Aumentados,Teletrabajo,0.965
Juntos Por El Cambio,Marcos Peña,0.965
Culturahype,Milei,0.965
Congreso,Sergio Massa,0.965
Frente De Todos,Peronismo,0.965
Hipersticion,Milei,0.965
Derecho A La Desconexión,Teletrabajo,0.965
Derechas,Un Año De Milei,0.965
Marcos Peña,Peronismo,0.965
Dillom,Música,0.965
Horrorcore,Música,0.965
Javier Milei,Liberalismo,0.965
Discurso,Populismo,0.965
Discurso,Presupuesto 2025,0.965
Teletrabajo,Trabajo,0.965
Boric,La Transición En Chile,0.965
Cine,Premios Oscar,0.965
Causa Andis,Populismo,0.964
Maradona,Selección Argentina,0.964
Financiamiento Narco,Populismo,0.964
Causa Andis,Presupuesto 2025,0.964
Axel Kicillof,Unión Por La Patria,0.964
Rock Nacional,Trap,0.964
Chile Convención Constituyente Internacional,Rechazo,0.964
La Libertad Avanza,Libertarios,0.964
Catolicismo,Evangélicos,0.964
Escuelas,Marcha Universitaria,0.964
Fotografía,Videla,0.964
Financiamiento Narco,Presupuesto 2025,0.964
Natalia Oreiro,Rusia,0.964
Ca7Triel Y Paco,Charly García,0.964
Elecciones,Izquierdas,0.964
La Libertad Avanza,Un Año De Milei,0.964
Roberto Jacoby,Rosalía,0.964
Congreso,Un Año De Milei,0.964
Causa Andis,Hipersticion,0.963
Causa Andis,Culturahype,0.963
Chile,Convención Constituyente,0.963
Folklore,Milo J,0.963
Hebe De Bonafini,Madres De Plaza De Mayo,0.963
Fundamentalistas Del Aire Acondicionado,Lentitud,0.963
Folklore,Soledad Pastorutti,0.963
Congreso,Elecciones 2023,0.963
Folklore,Julián Kartun,0.963
Rock Nacional,Soledad Pastorutti,0.963
Mex Urtizberea,Rock Nacional,0.963
Julián Kartun,Rock Nacional,0.963
Cazzu,Folklore,0.963
Falklore,Folklore,0.963
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Testimonios,0.963
Provincias,Unión Por La Patria,0.963
Bolivia,G20,0.963
Folklore,Lito Vitale,0.963
Folklore,Mex Urtizberea,0.963
Folklore,Liliana Herrero,0.963
Deuda,Inflación,0.963
Cosquín,Folklore,0.963
Culturahype,Financiamiento Narco,0.963
Lentitud,Redonditos De Ricota,0.963
Sin Control 2,Unión Por La Patria,0.963
Lito Vitale,Rock Nacional,0.963
Pro,Provincias,0.963
Cosquín,Rock Nacional,0.963
House Of The Dragon,Series,0.963
Falklore,Rock Nacional,0.963
Ca7Triel Y Paco,Horrorcore,0.963
Ca7Triel Y Paco,Dillom,0.963
Cazzu,Rock Nacional,0.963
Selección Argentina,Viajes,0.963
Liliana Herrero,Rock Nacional,0.963
Milo J,Rock Nacional,0.963
Clase Obrera,Derechos,0.963
Gobernadores,Jorge Macri,0.963
Axel Kicillof,Leandro Santoro,0.963
Game Of Thrones,Series,0.963
Financiamiento Narco,Hipersticion,0.963
Karina Milei,Unión Por La Patria,0.963
Crónicas,Ley De Glaciares,0.963
Culturahype,Lunes Negro,0.962
2X1 A Genocidas,Lesa Humanidad,0.962
Docentes,Soledad Acuña,0.962
Dillom,Rock Nacional,0.962
Frente De Todos,Izquierdas,0.962
O Sea Digamos,Un Año De Milei,0.962
Discurso,Milei,0.962
Alberto Fernández,Cristina Fernández De Kirchner,0.962
Liberalismo,Peronismo,0.962
Charly García,Música,0.962
Educación,Universidad Pública,0.962
Juicios De Lesa Humanidad,Terrorismo De Estado,0.962
Hipersticion,Lunes Negro,0.962
Perfil Político,Peronismo,0.962
Femicidios,Nahir Galarza,0.962
Horrorcore,Rock Nacional,0.962
Crónicas,Desplazados,0.961
Crónicas,Resistencia,0.961
O Sea Digamos,Sergio Massa,0.961
Alberto Fernández,Nancy Fraser,0.961
Juntos Por El Cambio,Sergio Massa,0.961
Energía,Rigi,0.961
Rosalía,Trap,0.961
Docentes,Universidad Pública,0.961
Francia Márquez,Izquierdas,0.961
Inflación,Precios,0.961
Economía,Mitos Impuestos,0.961
Federalismo,Sin Control 2,0.961
Pop,Rosalía,0.961
Derechas,Peronismo,0.961
Canal De Panamá,Crónicas,0.961
Peronismo,Sergio Massa,0.961
Anticomunismo,Derechas,0.961
Angela Merkel,Escuela De Política Y Gobierno,0.961
Charly García,Pop,0.961
Ca7Triel Y Paco,Trap,0.961
Beca Crónica,Crónicas,0.961
Rusia,Vladímir Putin,0.96
Hipersticion,Populismo,0.96
Culturahype,Presupuesto 2025,0.96
Milo J,Trap,0.96
Pro,Unión Por La Patria,0.96
Culturahype,Populismo,0.96
Hipersticion,Presupuesto 2025,0.96
Mex Urtizberea,Trap,0.96
Rusia,Unión Europea,0.96
Cosquín,Trap,0.96
Lito Vitale,Trap,0.96
Soledad Pastorutti,Trap,0.96
Alberto Fernández,Marcos Peña,0.96
Marcos Peña,Randazzo,0.96
Cazzu,Trap,0.96
Despidos,Trabajo,0.96
Liliana Herrero,Trap,0.96
Julián Kartun,Trap,0.96
Scaloneta,Viajes,0.96
Gobernadores,Juntos Por El Cambio,0.96
Elecciones 2023,Juan Grabois,0.96
Falklore,Trap,0.96
Groenlandia,Rusia,0.96
Cristina Fernández De Kirchner,Peronismo,0.96
Clase Obrera,Trabajo,0.959
Cfk,Cristina Fernández De Kirchner,0.959
Randazzo,Ucr,0.959
Crónicas,Sequía,0.959
Elecciones 2023,O Sea Digamos,0.959
Chile Convención Constituyente Internacional,La Conversa,0.959
La Transición En Chile,Rechazo,0.959
Netflix,Series,0.959
Crónicas,Monterrey,0.959
Karina Milei,Presupuesto 2025,0.959
Crónicas,Instituto Llilas,0.959
3J,Encuentro Plurinacional De Mujeres,0.959
Donald Trump,Partido Republicano,0.959
Charly García,Lentitud,0.959
Alberto Fernández,Izquierdas,0.959
Deuda,Economía,0.959
Liberalismo,Libertarios,0.959
Docentes,Escuelas,0.959
Karina Milei,Populismo,0.959
Congreso,Libertarios,0.959
Lentitud,Pop,0.959
Discurso,Sin Control 2,0.958
Catolicismo,Religión,0.958
China,Nicolás Maduro,0.958
Alejandro Zambra,Crónica,0.958
$Libra,Lunes Negro,0.958
Abuso Sexual,Varones Unidos,0.958
Elecciones,Progresismo,0.958
Abuso Sexual,Denuncias,0.958
Comedores Comunitarios,Derechas,0.958
Abuso Sexual,Doble Femicidio,0.958
Cfk,Vialidad,0.958
Lionel Messi,Mundial De Fútbol,0.958
Marcha Universitaria,Soledad Acuña,0.958
Dólar,Inflación,0.958
Alemania,Francia Márquez,0.958
Anticomunismo,Elecciones 2023,0.958
Abuso Sexual,Falsas Denuncias,0.958
Abuso Sexual,Pablo Lautra,0.958
Juan Grabois,Peronismo,0.958
Globos De Oro,Premios Oscar,0.957
Boca Juniors,Fútbol,0.957
Libertad,Sin Control 2,0.957
Alejandro Zambra,Zambra,0.957
Di María,Maradona,0.957
$Libra,Populismo,0.957
Izquierdas,Marcos Peña,0.957
Campo,Martín Guzmán,0.957
Karina Milei,Leandro Santoro,0.957
Chile Convención Constituyente Internacional,Convención Constituyente,0.957
Libertarios,Sin Control 2,0.957
Educación,Territorio Educativo,0.957
$Libra,Presupuesto 2025,0.957
Agronegocios,Martín Guzmán,0.957
Martín Guzmán,Retenciones,0.957
Cristina Fernández De Kirchner,Elecciones,0.957
Invasión,Mexico,0.957
Barbie,Cine,0.957
Docentes,Educación,0.957
Folclore,Música,0.956
Elecciones,Elecciones 2023,0.956
Elecciones,Perfil Político,0.956
Lawfare,Poder Judicial,0.956
Derechas,Libertarios,0.956
Karina Milei,Sin Control 2,0.956
Derechas,O Sea Digamos,0.956
$Libra,Financiamiento Narco,0.956
$Libra,Causa Andis,0.956
Populismo,Sin Control 2,0.956
Lentitud,Rock Nacional,0.956
Guerra De Aranceles,Politica Exterior,0.956
Angela Merkel,Francia Márquez,0.956
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Bell Hooks,0.956
Deuda,Mitos Impuestos,0.956
O Sea Digamos,Provincias,0.956
Alejandro Sabella,Viajes,0.956
Pro,Sergio Massa,0.956
Barbie,Globos De Oro,0.956
Presupuesto 2025,Sin Control 2,0.956
China,Unión Europea,0.956
China,Groenlandia,0.956
China,Vladímir Putin,0.956
La Libertad Avanza,Libertad,0.956
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Feminismos Afro,0.956
Evangélicos,Papa Francisco,0.956
Cine,Zapping Cultural,0.955
Cine Argentino,Zapping Cultural,0.955
Discurso,Llaryora,0.955
Ca7Triel Y Paco,Cazzu,0.955
Ca7Triel Y Paco,Milo J,0.955
Ca7Triel Y Paco,Soledad Pastorutti,0.955
Ca7Triel Y Paco,Mex Urtizberea,0.955
Ca7Triel Y Paco,Lito Vitale,0.955
Ca7Triel Y Paco,Liliana Herrero,0.955
Ca7Triel Y Paco,Julián Kartun,0.955
Santa Fe,Ucr,0.955
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Higui,0.955
Boric,Rechazo,0.955
Angela Merkel,Elecciones,0.955
Discurso,Pacto De Mayo,0.955
Masculinidades,Punitivismo,0.955
Alberto Fernández,Peronismo,0.955
Energía,Ola Polar,0.955
Artes,Posguerra,0.955
Asociación Del Fútbol Argentino,Fútbol,0.955
Artes,Danza,0.955
Ca7Triel Y Paco,Cosquín,0.955
Energía,Ypf,0.955
La Conversa,La Transición En Chile,0.955
Ca7Triel Y Paco,Falklore,0.955
Derechos,Trabajo,0.955
Cambio Climático,Transición Energética,0.955
Artes,Movimiento,0.955
Artes,Melisa Zulberti,0.955
Congreso,Lunes Negro,0.955
Congreso,Presupuesto 2025,0.955
Congreso,Populismo,0.955
Libertad,Unión Por La Patria,0.955
Convención Constituyente,Rechazo,0.955
Dillom,Rosalía,0.954
Series,Zendaya,0.954
Milei,Pacto De Mayo,0.954
Derechas,Sin Control 2,0.954
Futuridades,Tecnoceno,0.954
Lunes Negro,Sin Control 2,0.954
Fútbol,Maradona,0.954
Natalia Oreiro,Ucrania,0.954
Ciudad Futura,Elecciones Legislativas 2021,0.954
#Niunamenos,Ni Una Menos,0.954
Euphoria,Series,0.954
Natalia Oreiro,Putin,0.954
Derechas,Progresismo,0.954
Llaryora,Milei,0.954
Elecciones 2023,Sin Control 2,0.954
Horrorcore,Rosalía,0.954
Congreso,Pro,0.954
Escuelas,Territorio Educativo,0.954
Discurso,Provincias,0.954
Frente De Todos,Juntos Por El Cambio,0.954
Barras Bravas,Mundial De Fútbol,0.954
Imaginarios,Tecnoceno,0.954
Desplazados,Hidrovía,0.953
Gobernadores,Provincias,0.953
Beca Crónica,Hidrovía,0.953
Adorni,Corrupción,0.953
El País,Lunes Negro,0.953
Futuros,Resistencia,0.953
Hidrovía,Resistencia,0.953
Libertarios,Un Año De Milei,0.953
Axel Kicillof,Peronismo,0.953
Peronismo,Progresismo,0.953
Elecciones Legislativas 2021,Juntos Por El Cambio,0.953
Ciudad Futura,Elecciones,0.953
Ciudad Futura,Sergio Massa,0.953
Federalismo,Unión Por La Patria,0.953
Beca Crónica,Futuros,0.953
Axel Kicillof,Jorge Macri,0.953
Gobernadores,Leandro Santoro,0.953
Alberto Fernández,Elecciones Legislativas 2021,0.953
Folklore,Música,0.953
Karina Milei,Pro,0.953
Leandro Santoro,Unión Por La Patria,0.953
Sergio Massa,Sin Control 2,0.953
Feminismos,Ni Una Menos,0.953
Desplazados,Futuros,0.953
Canal De Panamá,Hidrovía,0.953
Canal De Panamá,Futuros,0.953
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Ni Una Menos,0.953
Messi,Viajes,0.953
Instagram,Tiktok,0.952
Agronegocios,Silvina Batakis,0.952
Alemania,Gustavo Petro,0.952
Angela Merkel,Frente De Todos,0.952
Angela Merkel,Gustavo Petro,0.952
Alemania,Escuela De Política Y Gobierno,0.952
Liberalismo,Un Año De Milei,0.952
O Sea Digamos,Unión Por La Patria,0.952
Iag,Inteligencia Artificial,0.952
Juntos Por El Cambio,Randazzo,0.952
Discurso,La Libertad Avanza,0.952
Folklore,Rock Nacional,0.952
Corrupción,Javier Milei,0.952
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Ni Una Menos,0.952
Premios Oscar,Zapping Cultural,0.952
Proceso Constituyente,Rechazo,0.952
Arte,Clases Medias,0.952
$Libra,Llaryora,0.952
Elecciones Legislativas 2021,Marcos Peña,0.952
Jorge Macri,Juntos Por El Cambio,0.952
Punitivismo,Violencia De Género,0.952
Retenciones,Silvina Batakis,0.952
Javier Milei,Provincias,0.952
Campo,Silvina Batakis,0.952
Lunes Negro,Unión Por La Patria,0.952
$Libra,Pacto De Mayo,0.952
Feminismo Negro,Francia Márquez,0.951
A 20 Años Del 2001,Frente De Todos,0.951
Luis Alberto Spinetta,Redonditos De Ricota,0.951
Federalismo,Libertarios,0.951
Charly García,Liliana Herrero,0.951
Charly García,Mex Urtizberea,0.951
Charly García,Julián Kartun,0.951
Causa Andis,El País,0.951
Charly García,Soledad Pastorutti,0.951
Charly García,Falklore,0.951
Deuda Externa,Inflación,0.951
Derechas,Federalismo,0.951
Cazzu,Charly García,0.951
Fundamentalistas Del Aire Acondicionado,Luis Alberto Spinetta,0.951
El País,Financiamiento Narco,0.951
Marcha Universitaria,Territorio Educativo,0.951
Nicolás Maduro,Ucrania,0.951
Ciudad Futura,Juntos Por El Cambio,0.951
Charly García,Lito Vitale,0.951
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.951
Alberto Fernández,Martín Guzmán,0.951
Crimen De Odio,Violencia Policial,0.951
Corrupción,La Libertad Avanza,0.951
Francia Márquez,Interseccionalidad,0.951
Charly García,Cosquín,0.951
Charly García,Milo J,0.951
Ca7Triel Y Paco,Luis Alberto Spinetta,0.95
Falklore,Horrorcore,0.95
Horrorcore,Milo J,0.95
Cosquín,Dillom,0.95
Dillom,Mex Urtizberea,0.95
Cine Argentino,Globos De Oro,0.95
Dillom,Lito Vitale,0.95
Horrorcore,Soledad Pastorutti,0.95
Cfk,Kirchnerismo,0.95
Dillom,Liliana Herrero,0.95
Horrorcore,Lito Vitale,0.95
Dillom,Julián Kartun,0.95
Horrorcore,Julián Kartun,0.95
Dillom,Falklore,0.95
Discurso,Sergio Massa,0.95
Corte Suprema,Vialidad,0.95
Cosquín,Horrorcore,0.95
Dillom,Soledad Pastorutti,0.95
Causa Andis,Karina Milei,0.95
Anticomunismo,Juntos Por El Cambio,0.95
Horrorcore,Liliana Herrero,0.95
Dillom,Milo J,0.95
Barras Bravas,Qatar 2022,0.95
Libertad,Libertarios,0.95
Di María,Viajes,0.95
Horrorcore,Mex Urtizberea,0.95
Clase Obrera,Reforma Laboral,0.95
Chile Convención Constituyente Internacional,La Transición En Chile,0.95
Axel Kicillof,La Libertad Avanza,0.95
Educación,Soledad Acuña,0.95
Financiamiento Narco,Karina Milei,0.95
Maradona,Mundial De Fútbol,0.95
Cazzu,Dillom,0.95
Karina Milei,O Sea Digamos,0.95
Un Año De Milei,Unión Por La Patria,0.95
Evangélicos,Iglesia Católica,0.95
Lentitud,Luis Alberto Spinetta,0.95
Elecciones 2023,Libertad,0.95
Cazzu,Horrorcore,0.95
Discurso,Javier Milei,0.949
Charly García,Fundamentalistas Del Aire Acondicionado,0.949
Chile,Gabriel Boric,0.949
Culturahype,El País,0.949
Córdoba,Incendios Forestales,0.949
Daniel Ortega,Venezuela,0.949
Energía Atómica,Recursos Naturales,0.949
Luis Alberto Spinetta,Rock Nacional,0.949
Axel Kicillof,Federalismo,0.949
Nicaragua,Venezuela,0.949
Charly García,Redonditos De Ricota,0.949
Cristina Fernández De Kirchner,Frente De Todos,0.949
Congreso,Derechas,0.949
Frente De Todos,Progresismo,0.949
Crisis Climática,Hidrógeno Verde,0.949
El País,Hipersticion,0.949
Adorni,La Libertad Avanza,0.949
El País,Karina Milei,0.949
Gobernadores,Sergio Massa,0.948
8M,Testimonios,0.948
Alemania,Giorgia Meloni,0.948
Instituto Llilas,Resistencia,0.948
Instituto Llilas,Ley De Glaciares,0.948
8M,Ni Una Menos,0.948
Angela Merkel,Marcos Peña,0.948
Impuesto A Las Grandes Riquezas,Mitos Impuestos,0.948
Redonditos De Ricota,Rock Nacional,0.948
Ley De Glaciares,Sequía,0.948
Desplazados,Monterrey,0.948
Fmi,Inflación,0.948
Canal De Panamá,Sequía,0.948
Canal De Panamá,Monterrey,0.948
Desplazados,Instituto Llilas,0.948
